PAR19CD,PAR19NM,PAR19NMW,LAD19CD,LAD19NM,FID
E04009115,Newton,,E07000200,Babergh,9001
E04009592,Oxted,,E07000215,Tandridge,9002
E04009203,Gipping,,E07000203,Mid Suffolk,9003
E04009098,Hitcham,,E07000200,Babergh,9004
E04009266,Thwaite,,E07000203,Mid Suffolk,9005
E04009116,Polstead,,E07000200,Babergh,9006
E04009593,Tandridge,,E07000215,Tandridge,9007
E04009204,Gislingham,,E07000203,Mid Suffolk,9008
E04009099,Holbrook,,E07000200,Babergh,9009
E04009267,Tostock,,E07000203,Mid Suffolk,9010
E04009117,Preston St. Mary,,E07000200,Babergh,9011
E04009118,Raydon,,E07000200,Babergh,9012
E04009119,Semer,,E07000200,Babergh,9013
E04009120,Shelley,,E07000200,Babergh,9014
E04009121,Shimpling,,E07000200,Babergh,9015
E04009122,Shotley,,E07000200,Babergh,9016
E04009123,Somerton,,E07000200,Babergh,9017
E04009124,Sproughton,,E07000200,Babergh,9018
E04009125,Stanstead,,E07000200,Babergh,9019
E04009126,Stoke-by-Nayland,,E07000200,Babergh,9020
E04009127,Stratford St. Mary,,E07000200,Babergh,9021
E04009128,Stutton,,E07000200,Babergh,9022
E04009129,Sudbury,,E07000200,Babergh,9023
E04009130,Tattingstone,,E07000200,Babergh,9024
E04009131,Thorpe Morieux,,E07000200,Babergh,9025
E04009132,Wattisham,,E07000200,Babergh,9026
E04009133,Wenham Magna,,E07000200,Babergh,9027
E04009134,Wenham Parva,,E07000200,Babergh,9028
E04009135,Whatfield,,E07000200,Babergh,9029
E04009136,Wherstead,,E07000200,Babergh,9030
E04009137,Woolverstone,,E07000200,Babergh,9031
E04009138,Copdock and Washbrook,,E07000200,Babergh,9032
E04009139,Pinewood,,E07000200,Babergh,9033
E04009164,Ashbocking,,E07000203,Mid Suffolk,9034
E04009165,Ashfield cum Thorpe,,E07000203,Mid Suffolk,9035
E04009166,Aspall,,E07000203,Mid Suffolk,9036
E04009167,Athelington,,E07000203,Mid Suffolk,9037
E04009175,Bedfield,,E07000203,Mid Suffolk,9038
E04009176,Bedingfield,,E07000203,Mid Suffolk,9039
E04009177,Beyton,,E07000203,Mid Suffolk,9040
E04009178,Botesdale,,E07000203,Mid Suffolk,9041
E04009179,Braiseworth,,E07000203,Mid Suffolk,9042
E04009180,Bramford,,E07000203,Mid Suffolk,9043
E04009181,Brome and Oakley,,E07000203,Mid Suffolk,9044
E04009182,Brundish,,E07000203,Mid Suffolk,9045
E04009183,Burgate,,E07000203,Mid Suffolk,9046
E04009006,Milwich,,E07000197,Stafford,9047
E04009100,Holton St. Mary,,E07000200,Babergh,9048
E04009594,Tatsfield,,E07000215,Tandridge,9049
